first_date_metadata_received,last_date_metadata_received,edp_site_id,postcode,state,site_timezone,monitoring_hardware,inverter_manufacturer,inverter_model,inverter_ac_rating_kw,inverter_count,subarray_manufacturer,subarray_model,subarray_orientation,subarray_tilt,subarray_strings,subarray_modules_per_string,subarray_dc_rating_kw,islandable,has_battery,battery_size_make_model,limit_enabled,limit_amount,limit_applied
14/04/2022,30/06/2022,S0338,5095,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-270,1,7.5,1,10,2.7,Yes,t,tesla power wall 2,,,
14/04/2022,30/06/2022,S0343,5126,SA,Australia/Adelaide,KR-63,Fronius,Fronius Symo 5.0-3-M,5,1,Tindo Solar,Karra-295,10,22.5,1,5,1.475,No,f,,,,
14/04/2022,30/06/2022,S0351,5073,SA,Australia/Adelaide,SC-23,Zeversolar,Evershine TL5000,5,1,Jinko Solar,JKM 260M-60,-115,35,1,12,3.12,No,f,,,,
14/04/2022,30/06/2022,S0354,5046,SA,Australia/Adelaide,SC-23,Generic Inverter,3.3kW,3.3,1,Generic Module,250W,-95,3,2,8,4,No,f,,,,
14/04/2022,30/06/2022,S0357,5067,SA,Australia/Adelaide,KR-63,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-295,180,3,1,8,2.36,No,f,,,,
14/04/2022,30/06/2022,S0360,5373,SA,Australia/Adelaide,KR-63,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-300,-90,22,1,8,2.4,Yes,t,Tesla ,,,
14/04/2022,30/06/2022,S0361,5157,SA,Australia/Adelaide,SC-23,SMA,Sunny Mini Central 7000 TL,7,1,Renesola,JC250M-24/Bb,1,15,2,14,7,,f,,,,
14/04/2022,30/06/2022,S0365,5321,SA,Australia/Adelaide,KR-63,Zeversolar,Evershine TL5000,5,1,Seraphim,SRP-250-6PB,-60,10,2,10,5,No,t,13 kw,,,
14/04/2022,30/06/2022,S0368,5169,SA,Australia/Adelaide,KR-63,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-295,0,22,1,9,2.655,,f,,,,
14/04/2022,30/06/2022,S0372,5072,SA,Australia/Adelaide,SC-23,SolaX Power,SL-TL3300T,3,1,Yingli Solar,YL260P-29b,90,24,1,6,1.56,No,f,,,,
14/04/2022,30/06/2022,S0378,5024,SA,Australia/Adelaide,SC-23,Generic Inverter,2.58kW,2.58,1,Generic Module,260W,-10,10,1,3,0.78,Yes,t,6.0kWh Sonnen Ec0 8.2/6,,,
14/04/2022,30/06/2022,S0379,5158,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-275,0,15,1,8,2.2,No,f,,,,
14/04/2022,30/06/2022,S0382,5290,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,2,Tindo Solar,Karra-275,5,27.5,1,9,2.475,No,f,,,,
14/04/2022,30/06/2022,S0383,5118,SA,Australia/Adelaide,KR-63,SolaX Power,X3-5.0-T,5,1,Tindo Solar,Karra-295,-90,25,1,11,3.245,No,f,,,,
14/04/2022,30/06/2022,S0386,5351,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-295,89,25,1,12,3.54,No,f,,,,
14/04/2022,30/06/2022,S0388,5095,SA,Australia/Adelaide,SC-23,SolaX Power,X1-3.3T,3.3,1,Tindo Solar,Karra-280,20,0,1,12,3.36,No,f,,,,
14/04/2022,30/06/2022,S0390,5090,SA,Australia/Adelaide,KR-63,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-315,0,22,2,7,4.41,No,f,,,,
14/04/2022,30/06/2022,S0391,5066,SA,Australia/Adelaide,KR-63,SolaX Power,X3-5.0-T,5,1,Tindo Solar,Karra-295,0,26,1,8,2.36,No,f,,,,
14/04/2022,30/06/2022,S0392,5044,SA,Australia/Adelaide,SC-23,Zeversolar,Zeverlution 5000,5,1,Tindo Solar,Karra-295,-90,17.5,1,17,5.015,No,f,,,,
14/04/2022,30/06/2022,S0397,5073,SA,Australia/Adelaide,KR-63,Generic Inverter,4.999kW,4.999,1,Seraphim,SRP-330-BMB,-90,23,2,10,6.6,No,f,,,,
14/04/2022,30/06/2022,S0399,5024,SA,Australia/Adelaide,KR-63,SMA,Sunny Boy SB 4000 TL-21,4,1,Tindo Solar,Karra-275,-10,12.5,1,8,2.2,No,f,,,,
14/04/2022,30/06/2022,S0400,5115,SA,Australia/Adelaide,SC-23,SolaX Power,X1-2.5,2.5,1,Tindo Solar,Karra-275,15,22,1,7,1.925,,f,,,,
14/04/2022,30/06/2022,S0404,5011,SA,Australia/Adelaide,SC-23,SolaX Power,X1-3.0T,3,1,Tindo Solar,Karra-270,85,15,1,5,1.35,No,f,,,,
